timestamp,open,high,low,close,volume
2026-03-31,80.74,82.74,80.59,82.48,24956400
2026-03-30,80.25,81.06,79.29,79.5,18776700
2026-03-27,78.47,79.92,78.17,79.0,11101700
2026-03-26,78.13,79.59,78.01,78.91,13518900
2026-03-25,79.2,80.25,79.0,79.55,18658300
2026-03-24,76.98,78.41,76.56,78.1,15700300
2026-03-23,76.56,78.42,75.97,77.49,23384500
2026-03-20,76.21,76.7,74.71,75.55,44208900
2026-03-19,74.17,76.71,74.06,76.63,27262900
2026-03-18,78.65,78.67,77.05,77.13,19412200
2026-03-17,79.1,79.71,78.63,78.96,14222300
2026-03-16,79.39,80.2,78.81,78.84,13591400
2026-03-13,79.3,80.49,78.02,78.3,14416400
2026-03-12,79.77,79.77,77.66,79.24,29136500
2026-03-11,79.79,80.94,78.8,79.85,20865000
2026-03-10,80.16,80.99,79.67,80.56,17172800
2026-03-09,77.72,80.1,76.55,79.26,30576600
2026-03-06,80.9,81.2,78.4,78.86,29504600
2026-03-05,84.13,84.3,80.55,81.29,37872100
2026-03-04,85.39,85.63,83.58,84.09,17605800
2026-03-03,85.25,85.31,82.55,84.48,36088800
2026-03-02,87.92,89.16,87.29,88.16,13952600
2026-02-27,89.14,89.5,88.26,88.47,17328300
2026-02-26,88.94,89.38,87.04,89.21,24503100
2026-02-25,89.03,90.33,88.51,89.97,28707500
2026-02-24,87.4,88.71,87.4,87.73,19760700
2026-02-23,86.81,88.32,86.42,87.39,21193900
2026-02-20,83.8,86.81,83.42,86.81,40577200
2026-02-19,83.03,84.35,82.33,83.46,28410900
2026-02-18,85.1,85.15,83.56,83.92,20898700
2026-02-13,87.57,88.14,86.02,87.03,28644800
2026-02-12,89.85,91.62,89.08,89.23,51472200
2026-02-11,88.65,90.32,88.48,90.09,28395300
2026-02-10,86.72,87.74,86.25,87.05,14177200
2026-02-09,86.65,87.68,84.63,87.31,26531100
2026-02-06,86.41,87.56,85.2,85.63,28889600
2026-02-05,87.99,88.93,86.24,86.45,57049000
2026-02-04,88.51,89.59,87.55,89.43,51744400
2026-02-03,86.42,89.0,86.42,88.99,37709700
2026-02-02,84.42,85.85,84.04,84.82,22289400
2026-01-30,85.67,87.9,84.0,84.32,41681400
2026-01-29,88.0,89.5,86.81,87.41,42013200
2026-01-28,85.29,87.49,85.0,86.97,28473800
2026-01-27,83.59,86.13,83.35,84.9,30922500
2026-01-26,85.56,86.14,82.18,83.07,35741300
2026-01-23,83.75,85.74,83.69,85.02,25432600
2026-01-22,82.5,84.4,82.08,82.98,62515300
2026-01-21,80.99,82.8,80.5,82.5,83134600
2026-01-20,77.83,80.21,77.41,80.08,31198500
2026-01-19,78.52,78.65,77.87,78.57,10678500
2026-01-16,78.39,78.88,77.57,78.88,45910100
2026-01-15,78.9,79.64,78.51,78.85,35503900
2026-01-14,75.84,79.09,75.64,78.92,44225300
2026-01-13,74.47,76.05,74.28,75.35,24539200
2026-01-12,75.0,75.47,74.51,74.74,13129800
2026-01-09,74.9,75.71,74.2,74.72,24801200
2026-01-08,75.8,75.8,74.19,75.58,31894900
2026-01-07,76.1,77.34,75.62,76.32,41501600
2026-01-06,73.45,75.99,72.88,75.87,39536600
2026-01-05,72.4,73.5,72.3,73.12,24958100
2026-01-02,72.33,72.55,71.65,72.38,28418900
2025-12-30,72.5,72.84,71.91,71.96,17085400
2025-12-29,73.19,73.74,71.7,72.12,19963700
2025-12-26,72.86,73.35,72.62,73.12,16368800
2025-12-23,73.23,73.53,72.58,72.9,17140900
2025-12-22,71.03,73.37,70.81,72.92,27853000
2025-12-19,70.5,70.93,70.38,70.85,37147100
2025-12-18,70.6,71.12,70.31,70.35,18430200
2025-12-17,69.64,70.77,69.44,70.17,29375000
2025-12-16,69.33,70.03,69.26,69.29,21953000
2025-12-15,68.65,69.39,68.5,69.03,16841700
2025-12-12,67.75,68.98,67.72,68.61,36483700
2025-12-11,67.2209,68.7698,66.9643,68.4182,25687700
2025-12-10,66.7553,67.8006,66.7553,67.525,24454800
2025-12-09,65.6625,66.9263,65.4724,66.3087,23081300
2025-12-08,66.9168,67.3349,66.0331,66.2707,20860900
2025-12-05,68.3802,68.7318,66.4417,66.7268,40196800
2025-12-04,67.1829,68.7888,67.1734,68.3422,38019900
2025-12-03,65.4344,67.563,65.3964,67.1734,42361200
2025-12-02,64.7122,65.3014,64.3892,65.0733,22567200
2025-12-01,64.4272,64.7407,64.1421,64.5412,15657000
2025-11-28,64.3321,64.4367,63.705,64.0471,46007200
2025-11-27,63.1918,63.3344,62.8497,63.0303,9739100
2025-11-26,62.7072,63.5624,62.6407,63.2679,33408500
2025-11-25,61.9185,62.6312,61.9185,62.3366,18275300
2025-11-24,61.776,62.2606,61.5574,61.852,20462800
2025-11-21,61.3388,62.023,60.9397,61.9185,20272600
2025-11-19,61.7855,62.0135,61.4814,61.7189,16523800
2025-11-18,61.2438,62.042,61.1013,61.7855,22468700
2025-11-17,62.3366,62.4981,61.6809,61.9755,20150800
2025-11-14,61.6239,62.2796,61.3959,62.023,16374400
2025-11-13,62.4887,63.1443,62.061,62.4031,19058500
2025-11-12,62.0135,62.6692,62.0135,62.4887,26550300
2025-11-11,61.966,62.3936,61.5384,61.8045,25496500
2025-11-10,61.8235,62.2796,61.6809,61.966,12689400
2025-11-07,61.6239,61.6334,60.8352,61.5574,20800300
2025-11-06,62.4887,62.7642,62.0135,62.2416,15939100
2025-11-05,61.4054,62.8783,61.2913,62.4601,22505400
2025-11-04,61.6239,61.776,60.8447,61.4054,22055700
2025-11-03,61.8615,62.1371,61.4339,62.099,16985400
2025-10-31,61.0823,62.2891,60.6927,62.0135,38988400
2025-10-30,59.9705,60.8162,59.7994,60.6357,25586000
2025-10-29,59.6949,60.5216,59.5904,60.1795,30844900
2025-10-28,58.5926,59.4288,58.5166,59.1057,15797400
2025-10-27,58.9727,59.0677,58.3455,58.5926,12018100
2025-10-24,58.9062,59.0392,58.279,58.6591,11127600
2025-10-23,59.1248,59.4288,58.6021,58.6876,11217700
2025-10-22,58.165,59.1438,58.1365,58.8017,25267300
2025-10-21,57.6329,58.013,57.5568,57.7754,13432700
2025-10-20,57.1482,58.298,57.1482,57.8704,17798400
2025-10-17,56.9202,57.3003,56.8251,57.1387,17325300
2025-10-16,57.5948,57.8989,57.0817,57.3003,21358500
2025-10-15,56.5306,57.9464,56.5021,57.8324,45104600
2025-10-14,56.35,57.1387,56.274,56.7776,19329000
2025-10-13,56.7016,57.0722,56.5876,56.7776,23294500
2025-10-10,56.6066,56.8251,55.9414,55.9414,22970400
