timestamp,open,high,low,close,volume
2026-03-31,641.86,654.5,640.89,653.21,10617700
2026-03-30,642.98,643.28,632.14,634.93,11817900
2026-03-27,645.47,645.57,636.0,636.99,7237100
2026-03-26,654.98,657.8,647.69,648.01,5846600
2026-03-25,661.63,663.87,657.2,659.74,19644600
2026-03-24,654.25,660.0,652.84,656.23,14784000
2026-03-23,660.97,665.61,656.94,658.34,18623400
2026-03-20,659.49,659.65,647.7,651.3,12760200
2026-03-19,658.07,664.1,656.37,660.93,10220600
2026-03-18,669.58,670.9,662.45,662.85,17019900
2026-03-17,673.61,675.67,671.33,671.99,23215600
2026-03-16,669.5575,673.2577,668.3607,670.126,8237300
2026-03-13,670.4551,673.4571,662.5462,663.4338,24744000
2026-03-12,672.37,672.8488,667.0642,667.1739,28564600
2026-03-11,678.8129,681.3262,674.5842,677.5862,8208100
2026-03-10,679.0423,684.6174,676.0303,678.3142,13577200
2026-03-09,667.5828,681.1766,663.5834,679.541,8305500
2026-03-06,674.634,677.3368,670.9638,673.6068,5369100
2026-03-05,683.281,686.7916,676.8381,682.6427,7001400
2026-03-04,682.892,688.3575,680.8574,686.4526,7473600
2026-03-03,676.2797,683.8495,670.8641,681.5556,8231300
2026-03-02,679.9499,689.9033,679.2517,687.6194,6344500
2026-02-27,684.3083,688.0981,682.902,687.5496,7614200
2026-02-26,694.5809,694.5809,685.6347,690.5715,6298700
2026-02-25,691.4193,694.9798,691.3993,694.4014,7411800
2026-02-24,683.1414,689.6042,681.2364,688.6766,4646200
2026-02-23,689.1055,691.2598,681.6155,683.67,5701900
2026-02-20,683.5004,691.2399,683.0816,690.6614,6459200
2026-02-19,685.1061,687.4299,682.8023,685.8541,4774300
2026-02-18,685.2658,690.3821,684.0888,687.5197,7366800
2026-02-17,681.3561,686.1733,676.9977,684.019,7334700
2026-02-13,682.9119,687.5197,678.7331,682.9419,5509500
2026-02-12,695.5084,696.6056,681.6254,682.5131,7400000
2026-02-11,697.6528,698.4108,690.442,693.2046,7277900
2026-02-10,696.1966,697.8023,692.9153,693.3043,5057100
2026-02-09,690.6514,697.1241,689.5643,695.2392,5078600
2026-02-06,682.6726,693.5537,682.0941,691.938,7928100
