timestamp,open,high,low,close,volume
2026-03-27,13.39,13.39,13.2,13.21,14964800
2026-03-26,13.48,13.64,13.38,13.43,30956900
2026-03-25,13.69,13.84,13.61,13.69,36046200
2026-03-24,13.51,13.53,13.26,13.5,25796600
2026-03-23,13.4,13.67,13.35,13.57,27139600
2026-03-20,13.27,13.32,12.99,13.1,65026400
2026-03-19,13.0066,13.4031,12.9372,13.304,28526200
2026-03-18,13.2346,13.4725,13.1553,13.2544,42579900
2026-03-17,13.2643,13.4527,13.1156,13.2743,40027500
2026-03-16,13.3833,13.423,13.2148,13.2643,16704700
2026-03-13,13.2148,13.423,13.0165,13.0462,17202500
2026-03-12,13.2148,13.2544,13.0066,13.2148,26730300
2026-03-11,13.3437,13.6609,13.2842,13.5023,20281600
2026-03-10,13.4924,13.651,13.195,13.4924,51053300
2026-03-09,13.2544,13.3536,12.9967,13.3238,45201700
2026-03-06,13.2346,13.2941,13.0462,13.2049,19375700
2026-03-05,13.7204,13.7204,13.2346,13.2941,29466600
2026-03-04,13.7204,13.8294,13.5122,13.7501,24899500
2026-03-03,13.3932,13.5816,13.1355,13.4824,36863700
2026-03-02,13.8492,14.0673,13.8096,14.0178,22398600
2026-02-27,14.3997,14.4492,14.1028,14.1226,36363000
2026-02-26,14.469,14.6274,14.3403,14.4987,24701600
2026-02-25,14.756,14.7857,14.3403,14.469,31858200
2026-02-24,14.5185,14.756,14.4492,14.6867,47083400
2026-02-23,14.7956,14.855,14.4294,14.4393,28969500
2026-02-20,14.568,14.9638,14.5284,14.9144,29977600
2026-02-19,14.4591,14.7362,14.4096,14.6471,20747900
2026-02-18,14.469,14.568,14.3206,14.4393,31791700
2026-02-13,14.5086,14.5086,14.0632,14.4492,24256800
2026-02-12,14.7164,14.7659,14.4393,14.5185,48318600
2026-02-11,14.6175,14.8847,14.5482,14.8847,32001100
2026-02-10,14.4393,14.6768,14.3997,14.469,37803300
2026-02-09,14.0632,14.4393,14.0039,14.4393,36030600
2026-02-06,13.707,14.1028,13.5387,14.0335,41507900
2026-02-05,13.5783,13.8059,13.4892,13.6971,29143800
2026-02-04,13.7762,13.796,13.2517,13.4397,46662400
2026-02-03,13.8554,14.0533,13.796,13.8653,34885200
2026-02-02,13.6179,13.796,13.5486,13.7169,26323100
2026-01-30,13.8257,13.8257,13.4002,13.5189,36324500
2026-01-29,13.9544,14.0533,13.608,13.7366,38939300
2026-01-28,13.7762,14.0039,13.7169,13.895,39423000
2026-01-27,13.5387,13.8851,13.5288,13.707,41188200
2026-01-26,13.222,13.4298,13.1033,13.3507,36499000
2026-01-23,13.0934,13.321,13.034,13.222,46213600
2026-01-22,12.6282,13.1725,12.5985,13.0538,67564600
2026-01-21,12.0542,12.6084,12.0245,12.5886,57121100
2026-01-20,11.8365,12.0047,11.7474,11.9849,18781600
2026-01-19,11.8761,11.9453,11.8365,11.8563,10094000
2026-01-16,12.0839,12.0839,11.8464,11.9058,41765300
2026-01-15,11.9255,12.0938,11.9058,12.0542,37769400
2026-01-14,11.9058,11.9255,11.7969,11.9058,25481400
2026-01-13,11.8365,11.9354,11.787,11.8365,33777800
2026-01-12,11.9651,11.975,11.8761,11.8761,13690000
2026-01-09,11.9651,12.074,11.9354,11.9849,29728500
2026-01-08,11.6682,11.9453,11.6484,11.9453,40016300
2026-01-07,11.787,11.8365,11.5891,11.6484,19658100
2026-01-06,11.8761,11.9651,11.8167,11.8365,16458400
2026-01-05,11.5495,11.8761,11.5198,11.787,35859800
2026-01-02,11.6286,11.6781,11.5099,11.5099,18672900
2025-12-30,11.5198,11.6187,11.5099,11.5594,16666700
2025-12-29,11.4901,11.5,11.4109,11.4703,13165800
2025-12-26,11.3911,11.5,11.3713,11.4802,17144900
2025-12-23,11.3812,11.5198,11.3317,11.4703,12528200
2025-12-22,11.3812,11.3911,11.2625,11.3416,18783200
2025-12-19,11.2823,11.5099,11.2724,11.3515,46941400
2025-12-18,11.1775,11.2842,11.1775,11.2551,19859808
2025-12-17,11.2648,11.2842,11.0707,11.1872,37780086
2025-12-16,11.5947,11.6141,11.2551,11.2551,32249544
2025-12-15,11.5462,11.6432,11.488,11.6432,17237592
2025-12-12,11.4103,11.4977,11.3133,11.4394,29327142
2025-12-11,11.2551,11.4297,11.2357,11.3521,27567132
2025-12-10,11.2163,11.323,11.1193,11.2648,52473594
2025-12-09,11.2498,11.3042,11.0228,11.2225,43532478
2025-12-08,11.395,11.4404,11.2134,11.277,40909242
2025-12-05,11.7219,11.8127,11.1317,11.2225,47963868
2025-12-04,11.4586,11.7219,11.4223,11.7219,41995644
2025-12-03,11.4223,11.4586,11.3042,11.4041,31508106
2025-12-02,11.1953,11.386,11.168,11.386,43768710
2025-12-01,11.3042,11.3042,11.0591,11.1136,63765606
2025-11-28,11.0017,11.2283,10.9202,11.1739,55395996
2025-11-27,10.9474,10.9564,10.8658,10.9021,11485200
2025-11-26,10.7389,11.0017,10.7389,10.9655,26690850
2025-11-25,10.7208,10.7752,10.6392,10.7027,24781920
2025-11-24,10.6664,10.7842,10.6392,10.7027,27442794
2025-11-21,10.6846,10.7117,10.5849,10.6755,17075106
