timestamp,open,high,low,close,volume
2026-03-27,178.19,180.13,177.6,177.74,2967871
2026-03-26,179.91,181.6,179.13,179.45,2898776
2026-03-25,181.0,183.02,180.66,182.2,3472676
2026-03-24,177.83,179.27,176.41,179.19,3558423
2026-03-23,175.6,179.6,175.32,178.9,8881349
2026-03-20,176.28,176.28,171.59,173.01,13203300
2026-03-19,173.09,178.04,172.75,177.15,6355374
2026-03-18,176.0,178.13,175.8,175.8,5203094
2026-03-17,176.5,179.27,176.46,176.83,3977615
2026-03-16,177.04,177.83,175.95,176.55,4598775
2026-03-13,176.6,177.66,173.84,174.55,6556228
2026-03-12,178.18,178.4,175.02,175.85,5996129
2026-03-11,178.49,182.22,178.44,180.21,3801350
2026-03-10,178.49,181.88,177.14,179.75,6476865
2026-03-09,175.2,178.56,174.13,177.26,5418626
2026-03-06,176.66,177.74,175.11,175.89,4805019
2026-03-05,181.1,181.17,176.41,176.75,6007521
2026-03-04,182.07,182.85,179.84,181.6,3443280
2026-03-03,180.7,181.29,176.96,179.3,8735125
2026-03-02,183.99,186.5,182.91,185.5,5324045
2026-02-27,186.92,187.33,184.87,185.16,4646890
2026-02-26,187.61,188.1,185.3,187.35,4832891
2026-02-25,188.89,188.96,186.66,187.46,6105933
2026-02-24,186.01,188.19,186.0,187.78,5044231
2026-02-23,186.07,187.39,184.63,185.17,5352837
2026-02-20,183.4,187.0,183.16,186.69,20628540
2026-02-19,182.61,185.2,182.45,184.99,3282837
2026-02-18,184.0,184.1,181.38,182.43,3873635
2026-02-13,181.85,182.98,180.1,182.98,7270115
2026-02-12,185.65,186.44,183.36,184.28,8509342
2026-02-11,184.2,186.96,183.89,185.99,7476956
2026-02-10,182.19,183.43,181.6,182.4,4971512
2026-02-09,179.82,183.0,179.62,182.79,2905667
2026-02-06,178.94,179.8,177.91,179.24,2905591
2026-02-05,178.55,180.67,178.02,178.65,5358557
2026-02-04,181.16,181.28,176.76,178.2,7115202
2026-02-03,181.66,183.81,180.79,182.19,5835580
2026-02-02,178.05,179.47,177.9,179.2,8163198
2026-01-30,178.95,180.2,176.65,178.2,6761476
2026-01-29,182.3,183.14,178.12,179.65,8769354
2026-01-28,179.89,181.69,179.04,181.4,5669537
2026-01-27,177.45,179.97,177.18,178.23,7640493
2026-01-26,176.36,176.6,174.41,175.3,6867173
2026-01-23,173.16,177.3,172.35,175.7,9630509
2026-01-22,169.55,174.73,169.29,172.74,9245398
2026-01-21,164.96,168.95,164.93,168.95,6040015
2026-01-20,160.75,163.31,160.38,162.92,3941185
2026-01-19,161.51,162.08,161.14,161.94,3188923
2026-01-16,162.55,162.66,161.0,161.57,11433980
2026-01-15,162.5,163.0,161.67,162.55,8335462
2026-01-14,159.97,162.24,158.83,162.24,6972588
2026-01-13,159.29,159.93,158.69,159.07,5029000
2026-01-12,159.81,160.44,159.24,160.15,3082884
2026-01-09,159.5,161.1,159.5,160.1,2640967
